,np_synthesis,Source_origin,method,Solvent_for_extract,Template_type,Capping_type,shape,Bio_component_class,amw,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,lipinskiHBA,CrippenClogP,hallKierAlpha,kappa1,NumHBA,np_size_avg__nm_,np_size_min__nm_,np_size_max__nm_,time_set__hours_,bacteria_strain_1,bacteria_strain_2,reward,fe,fe_bacteria_1,fe_bacteria_2
4757,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,328.26,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.28,0.28,1.37,1.09
4758,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.13,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,1.0,1.0,2.54,1.54
4759,Green synthesis using Petroselinum crispum,lab,MIC,methanol,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,126.39,190.3,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.29,0.29,3.99,3.7
4760,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.39,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.83,0.83,4.39,3.56
4761,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,107.33,1.07,187.02,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.41,0.41,1.19,0.77
4762,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.13,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.83,0.83,4.39,3.56
4763,"Chemical synthesis, purchased from Sigma-Aldrich",commercial,MIC,water,none,none,spherical,,107.868,1.78376517,strong,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,75.14,74.39,76.08,48.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.12,-0.12,-2.05,-1.93
4764,chemical_synthesis using sodium borohydride and copper ions,lab,MIC,water,none,none,spherical,,63.546,1.243163121,strong,chemical,0,11,0,0,-0.0025,0.519480519,1.519480519,0,162.91,161.28,164.13,32.75,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.04,0.04,4.57,4.53
4765,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.7,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.25,-0.25,3.14,3.39
4766,Biosynthesis using Candida glabrata,lab,MIC,water,none,none,spherical,protein,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,15.14,273.74,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.86,0.86,1.61,0.75
